parcel_id,latitude,longitude
010110009,40.3846016,-111.8469908
010530004,40.3903386,-111.8521436
010530007,40.3905887,-111.8521049
010530008,40.3908642,-111.8520461
010530009,40.3909598,-111.8512016
010530010,40.3908116,-111.8511958
010530011,40.390974,-111.8515506
010530012,40.3911294,-111.8512068
010090005,40.3832309,-111.851845
010090006,40.3832442,-111.8515493
010090007,40.3840718,-111.8517762
010090008,40.3840842,-111.8509084
010090009,40.3838003,-111.8517662
010090010,40.3838126,-111.8508983
010090011,40.3839277,-111.851337
010100004,40.3841342,-111.8494636
010100007,40.3833227,-111.8501234
010240006,40.3860195,-111.8469035
010240007,40.3862646,-111.8469742
010240010,40.3865305,-111.8466871
010240011,40.3865674,-111.8460924
010240012,40.3865191,-111.8470551
010240013,40.3865594,-111.846373
010240014,40.3857778,-111.8467537
010240015,40.3857918,-111.8470001
010360008,40.3880712,-111.8503875
010360009,40.3880634,-111.8501608
010360010,40.3880614,-111.8502308
010360011,40.3880656,-111.8500837
010360013,40.3886239,-111.8500471
010360014,40.388285,-111.8497028
010360015,40.3883922,-111.8495942
010360017,40.3880632,-111.8500085
010360018,40.3880742,-111.8499376
010110010,40.3848462,-111.8469997
010110013,40.3851125,-111.8469465
010240016,40.3863065,-111.8463223
010250001,40.387,-111.8464902
010250002,40.387247,-111.846307
010250003,40.3870092,-111.8461633
010370006,40.3882299,-111.8486045
010370007,40.3888136,-111.8489563
010370008,40.3887185,-111.8486343
010370009,40.3887286,-111.8483042
010370010,40.388903,-111.8477779
010370011,40.3887453,-111.8477707
010370012,40.3888289,-111.848056
010370014,40.3885679,-111.8489447
010600001,40.3924016,-111.8448104
010600002,40.391768,-111.8451002
010600003,40.3921339,-111.8456286
010110015,40.3852323,-111.8465592
010110017,40.3852466,-111.8463338
010110022,40.3852553,-111.8460564
010120002,40.3846019,-111.8476267
010120003,40.3847023,-111.8483631
010120005,40.3853027,-111.8488448
010120006,40.3850538,-111.8488309
010120017,40.3848415,-111.8476398
010250009,40.3874212,-111.8467733
010250011,40.3876175,-111.8462119
010250012,40.3877222,-111.8465393
010250013,40.3874762,-111.8465199
010250019,40.386986,-111.8471243
010260001,40.3871383,-111.8478553
010260002,40.3869463,-111.848062
010260003,40.3872175,-111.8481063
010590008,40.392188,-111.843503
010590010,40.3919408,-111.8433922
010590011,40.3916855,-111.8435253
010590012,40.3919575,-111.8441922
010590015,40.3921517,-111.8441428
010590016,40.3921561,-111.843818
010250005,40.3872231,-111.8469683
010250006,40.3869943,-111.8467911
010250007,40.3875887,-111.8471125
010250008,40.3876729,-111.8467873
010370001,40.3882532,-111.8477305
010370002,40.3882435,-111.8480115
010370003,40.3882395,-111.8482907
010260011,40.3871852,-111.8487452
010260012,40.3869529,-111.8477099
010260013,40.3873724,-111.8488069
010270001,40.3869123,-111.8494151
010380013,40.3888878,-111.8466732
010380015,40.3884323,-111.8471418
010380017,40.3882882,-111.8464801
010390002,40.3883398,-111.8446792
010390003,40.3882069,-111.8456518
010390005,40.3886792,-111.8454859
010390009,40.3884617,-111.8453526
010390010,40.3889267,-111.8453246
010570009,40.3911134,-111.8453973
010570010,40.3912226,-111.8451062
010570011,40.3909998,-111.8449183
010570012,40.3912313,-111.8447836
010570013,40.3907738,-111.8447499
010570014,40.390759,-111.845699
010570015,40.3905813,-111.8454959
010260004,40.3869285,-111.848387
010370015,40.3885832,-111.8480643
010370016,40.388586,-111.847784
010370017,40.38816,-111.8489151
010380004,40.3881833,-111.8471316
010380007,40.3886573,-111.8463716
010380008,40.3886369,-111.8470236
010380009,40.3888801,-111.8471942
010380010,40.3888887,-111.846871
010380011,40.3888924,-111.8465086
010380012,40.3889056,-111.8462172
010530013,40.3911046,-111.8520853
010530014,40.3909894,-111.8517487
010530015,40.39073,-111.8511691
010540001,40.3905141,-111.8498672
010540002,40.3903633,-111.8505206
010540003,40.3906163,-111.85053
010540004,40.3909837,-111.8504302
010540005,40.3911337,-111.8501563
010540006,40.3908971,-111.8497311
010120026,40.3852031,-111.8485523
010120027,40.3851738,-111.8481774
010120028,40.3852833,-111.8479333
010120031,40.3853264,-111.8477259
010120032,40.385369,-111.8475418
010120033,40.3850954,-111.8476057
010120034,40.3851748,-111.8477177
010130001,40.3846866,-111.8493537
010260005,40.3869332,-111.8488139
010260006,40.3876334,-111.8489057
010260007,40.3875516,-111.8483356
